id,name,address,latitude,longitude
112,Seba Medical Hall,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
113,Usha Medical,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
114,Hahnemann Drug Centre,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
115,New Life Medicine Shop,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
116,Gauri Medical Hall,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
117,Sadhna Aushadhalay,"Hero MotoCorp CM Hero, Sh5, Contai, Contai-I, Purba Medinipur, West Bengal, 721401, India",21.782333,87.735243
118,Bhubaneswar Pharmacy,"Bhubaneswar Pharmacy, 2, Contai Municipality Rd, Puratan Bari, Contai, West Bengal, 721401, India",21.77967,87.74945
119,Atalu Pharmacy,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
120,Sasmal Medical,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
121,Satya Narayan Homoeo Hall,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
122,Shivani Homeopathy Shop,"Bhubaneswar Pharmacy, 2, Contai Municipality Rd, Puratan Bari, Contai, West Bengal, 721401, India",21.77967,87.74945
123,Sibani Pharmacy,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
124,Basanty Medical Hall,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
125,Kiran Pharmacy,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
126,Henyman Drug House,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
127,Atul Pharmacy,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
128,Khokon Homeo,"Khokon Homeo, Contai ByPass Rd, School Bazar, Puratan Bari, Contai, West Bengal, 721401, India",21.77977,87.74964
129,Ananda Pharmacy,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
130,Santosh Medical,"Egra Swarnamoyi Girls High School, Egra- Pataspur- Amarshi- Bhagabanpur, Egra - Bajkul Rd, Buran, Egra, West Bengal, 721429, India",21.89936,87.53732
131,Srima Ausadhalaya,"Egra Swarnamoyi Girls High School, Egra- Pataspur- Amarshi- Bhagabanpur, Egra - Bajkul Rd, Buran, Egra, West Bengal, 721429, India",21.89936,87.53732
132,Monikanchan Medical,"Hindustan Lodge, Sh5, Dantan II, Potashpur-II, Purba Medinipur, West Bengal, 721429, India",21.912227,87.521596
133,Prafulla Medical And Research Centre,"Prafulla Medical And Research Centre, Prafulla Medical And Research Center Pvt Ltd, Sh5, Dantan II, Egra-I, Purba Medinipur, West Bengal, 721429, India",21.90085,87.536132
134,Apollo Pharmacy Egra,"Fish Market, Debra- Balichak- Temathani- Pataspur- Egra Rd, Adlabad, Egra, West Bengal, 721429, India",21.90064,87.53761
135,Maa Medicals,"Maa Medicals, Dalalua, Purushottampur, Egra, West Bengal, 721429, India",21.90016,87.53687
136,Jhanwar Medical Store,"Egra Swarnamoyi Girls High School, Egra- Pataspur- Amarshi- Bhagabanpur, Egra - Bajkul Rd, Buran, Egra, West Bengal, 721429, India",21.89936,87.53732
137,M/s - Panacea Pharmacy & PolyClinic,"Egra Swarnamoyi Girls High School, Egra- Pataspur- Amarshi- Bhagabanpur, Egra - Bajkul Rd, Buran, Egra, West Bengal, 721429, India",21.89936,87.53732
